major,minor,patch,date,datetime,time,type,time
2,6,2,2/8/2008,2008-02-08T11:10:05Z,12:10:06 AM,patch,
2,7,0,4/22/2008,2008-04-22T07:45:29Z,12:45:30 AM,minor,
2,7,1,6/23/2008,2008-06-23T07:44:32Z,12:44:32 AM,patch,
2,7,2,8/25/2008,2008-08-25T08:53:56Z,12:53:57 AM,patch,
2,8,0,10/20/2008,2008-10-20T09:24:01Z,12:24:01 AM,minor,
2,8,1,12/22/2008,2008-12-22T09:03:17Z,12:03:18 AM,patch,
2,9,0,4/17/2009,2009-04-17T08:32:48Z,12:32:48 AM,minor,
2,9,1,6/26/2009,2009-06-26T12:10:57Z,12:10:57 AM,patch,
2,9,2,8/24/2009,2009-08-24T08:22:34Z,12:22:35 AM,patch,
2,10,0,10/26/2009,2009-10-26T09:02:22Z,12:02:22 AM,patch,
2,10,1,12/14/2009,2009-12-14T10:28:24Z,12:28:25 AM,patch,
2,11,0,4/22/2010,2010-04-22T08:11:21Z,12:11:22 AM,minor,
2,11,1,5/31/2010,2010-05-31T08:10:25Z,12:10:25 AM,patch,
2,12,0,10/15/2010,2010-10-15T08:41:57Z,12:41:58 AM,minor,
2,12,1,12/16/2010,2010-12-16T09:12:04Z,12:12:05 AM,patch,
2,12,2,2/25/2011,2011-02-25T11:07:19Z,12:07:19 AM,patch,
2,13,0,4/13/2011,2011-04-13T08:31:27Z,12:31:27 AM,minor,
2,13,1,7/8/2011,2011-07-08T09:37:08Z,12:37:09 AM,patch,
2,13,2,9/30/2011,2011-09-30T07:05:56Z,12:05:56 AM,patch,
2,14,0,10/31/2011,2011-10-31T08:09:09Z,12:09:09 AM,minor,
2,14,1,12/22/2011,2011-12-22T08:10:18Z,12:10:19 AM,patch,
2,14,2,2/29/2012,2012-02-29T08:10:10Z,12:10:10 AM,patch,
2,15,0,3/30/2012,2012-03-30T07:16:05Z,12:16:06 AM,minor,
2,15,1,6/22/2012,2012-06-22T07:09:44Z,12:09:44 AM,patch,
2,15,2,10/26/2012,2012-10-26T07:11:16Z,12:11:17 AM,patch,
2,15,3,3/1/2013,2013-03-01T08:28:29Z,12:28:29 AM,patch,
3,0,0,4/3/2013,2013-04-03T07:12:36Z,12:12:37 AM,major,
3,0,1,5/16/2013,2013-05-16T07:11:33Z,12:11:34 AM,patch,
3,0,2,9/25/2013,2013-09-25T07:11:09Z,12:11:09 AM,patch,
3,0,3,3/6/2014,2014-03-06T08:12:33Z,12:12:34 AM,patch,
3,1,0,4/10/2014,2014-04-10T07:11:10Z,12:11:11 AM,minor,
3,1,1,7/10/2014,2014-07-10T07:11:09Z,12:11:09 AM,patch,
3,1,2,10/31/2014,2014-10-31T08:11:32Z,12:11:32 AM,patch,
3,1,3,3/9/2015,2015-03-09T08:12:20Z,12:12:20 AM,patch,
3,2,0,4/16/2015,2015-04-16T07:13:33Z,12:13:33 AM,minor,
3,2,1,6/18/2015,2015-06-18T07:15:04Z,12:15:05 AM,patch,
3,2,2,8/14/2015,2015-08-14T07:13:18Z,12:13:18 AM,patch,
3,2,3,12/10/2015,2015-12-10T08:13:08Z,12:13:08 AM,patch,
3,2,4,3/10/2016,2016-03-10T08:15:45Z,12:15:46 AM,patch,
3,2,5,4/14/2016,2016-04-14T15:59:38Z,12:59:39 AM,patch,
3,3,0,5/3/2016,2016-05-03T07:13:28Z,12:13:28 AM,minor,
3,3,1,6/21/2016,2016-06-21T07:21:38Z,12:21:39 AM,patch,
3,3,2,10/31/2016,2016-10-31T08:13:15Z,12:13:16 AM,patch,
3,3,3,3/6/2017,2017-03-06T08:16:31Z,12:16:32 AM,patch,
3,4,0,4/21/2017,2017-04-21T07:14:45Z,12:14:45 AM,minor,
3,4,1,6/30/2017,2017-06-30T07:04:11Z,12:04:12 AM,patch,
